place,title,time,pay,date
강원 춘천시,더페이스샵 롯데마트 춘천점 아르바이트 모집,18:20~22:50,"시급 8,590",1시간전
충남 홍성군,롯데마트 홍성점 아르바이트구인,18:00~22:00,"시급 8,600",3시간전
